run,cost,iteration,time_s
1,938,0,0.0012733936309814453
2,889,0,0.0012156963348388672
3,760,0,0.0011429786682128906
4,731,0,0.001149892807006836
5,841,0,0.0011560916900634766
6,901,0,0.0011456012725830078
7,813,0,0.0011339187622070312
8,820,0,0.0011279582977294922
9,923,0,0.0011363029479980469
10,865,0,0.001172780990600586
11,859,0,0.0011675357818603516
12,825,0,0.001171112060546875
13,788,0,0.0011632442474365234
14,846,0,0.0011715888977050781
15,783,0,0.0013396739959716797
16,785,0,0.0011851787567138672
17,919,0,0.0011708736419677734
18,840,0,0.0019690990447998047
19,956,0,0.0013773441314697266
20,874,0,0.0011851787567138672
